,product,category,product_id
0,DAVE'S KILLER BREAD White Bread Done Right,bread,1
1,DAVE'S KILLER BREAD Good Seed Bread,bread,2
2,BREAD ALONE Organic Peasant Loaf,bread,3
3,BREAD & CHOCOLATE Ciabatta Bread,bread,4
4,BOGHOSIAN VELLEY BREAD Lavash,bread,5
5,BREAD ALONE Organic Rye Sourdough Loaf,bread,6
6,ELI'S Traditional Hearth Baked Sliced Bread,bread,7
7,BREAD & CHOCOLATE Dinner Ciabatta Rolls 6ct.,bread,8
8,DAVE'S KILLER BREAD Organic White Done Right Bread,bread,9
9,BREAD & CHOCOLATE Olive Oil Ciabatta Bread,bread,10
10,BREAD ALONE Organic Whole Wheat Sourdough Bread,bread,11
11,Health Bread,bread,12
12,Manor House Bread,bread,13
13,Country White Bread,bread,14
14,Euro Rye Bread,bread,15
15,BREAD & CHOCOLATE Brioche Loaf,bread,16
16,BREAD & CHOCOLATE Challah Loaf,bread,17
17,ELI'S Sliced Whole Wheat Bread,bread,18
18,DAVE'S KILLER BREAD Organic 21 Whole Grains & Seeds Bread,bread,19
19,JOSEPH'S Lavash Bread,bread,20
20,ELI's San Francisco Style Sourdough Bread,bread,21
21,STONEFIRE Original Naan Bread,bread,22
22,FOUR FLOURS Zucchini Carrot Bread,bread,23
23,CHABASO Roasted Garlic Ciabatta Bread,bread,24
24,CHABASO Stone Ground Wheat Ciabatta Bread,bread,25
25,THREE BAKERS Cinnamon Raisin Gluten Free Bread,bread,26
26,PEPPERIDGE FARM Whole Grain 15 Grain Bread,bread,27
27,THREE BAKERS Rye Style Gluten Free Bread,bread,28
28,CANYON BAKEHOUSE Mountain White Gluten-Free Bread,bread,29
29,SILVER HILLS Hemptation Sprouted Wheat Bread,bread,30
30,SILVER HILLS Big Red's Ancient Grain Bread,bread,31
31,BERLIN NATURAL BAKERY Classic White Spelt Bread,bread,32
32,SILVER HILLS Organic Little Big Sprouted Wheat Bread,bread,33
33,ALVARADO ST. BAKERY Organic Sprouted Sourdough Bread,bread,34
34,SILVER HILLS Organic Squirrelly Sprouted Wheat Bread,bread,35
35,THREE BAKERS Gluten-Free 7 Ancient Grain Bread,bread,36
36,ALVARADO ST. BAKERY Seriously Sprouted Rye Seed Bread,bread,37
37,ALVARADO ST. BAKERY Seriously Sprouted No Salt Added Multi-Grain Bread,bread,38
38,ALVARADO ST. BAKERY Organic Sprouted Multi-Grain Bread,bread,39
39,THREE BAKERS Whole Grain Gluten-Free White Bread,bread,40
40,UDI'S Ancient Grain Omega-3 Flax And Fiber Gluten-Free Bread,bread,41
41,UDI'S Whole Grain Sandwich Bread,bread,42
42,SILVER HILLS Organic The Big 16 Sprouted Wheat Bread,bread,43
43,ALVARADO ST. BAKERY Organic Sprouted White Multi-Grain Bread,bread,44
44,ALVARADO ST. BAKERY Organic California Style Bread,bread,45
45,ALVARADO ST. BAKERY Organic Sprouted 100% Whole Wheat Bread,bread,46
46,RUDI'S Organic Spelt Ancient Grain Bread,bread,47
47,LITTLE NORTHERN BAKEHOUSE Ancient Grain Bread,bread,48
48,ALVARADO ST. BAKERY Organic Sprouted Flax Seed Bread,bread,49
49,LITTLE NORTHERN BAKEHOUSE Seeds & Grain Gluten-Free Bread,bread,50
50,GRACIE'S KITCHEN Chicken Breast Herb Bread Stuffing 18oz.,bread,51
51,House-made Almond Chocolate Chip Bread,bread,52
52,BREAD ALONE Organic French Sourdough Bread,bread,53
53,BREAD & CHOCOLATE Cinnamon Roll,bread,54
54,BREAD & CHOCOLATE Cranberry Scone,bread,55
55,BREAD & CHOCOLATE Chocolate Croissant,bread,56
56,BREAD & CHOCOLATE Blueberry Scone,bread,57
57,BREAD & CHOCOLATE Almond Croissant,bread,58
58,BREAD & CHOCOLATE Sourdough Loaf,bread,59
59,BREAD & CHOCOLATE Blueberry Pie,bread,60
60,BREAD & CHOCOLATE Soft Rolls,bread,61
61,BREAD & CHOCOLATE Apple Pie,bread,62
62,BOGHOSIAN VELLEY BREAD Lavash Whole Wheat Bread,bread,63
63,ELI'S Jewish Rye Bread,bread,64
64,BREAD & CHOCOLATE Morning Glory Muffin,bread,65
65,BREAD & CHOCOLATE Dinner Rolls 6ct.,bread,66
66,BREAD & CHOCOLATE Brioche dinner rolls,bread,67
68,BREAD & CHOCOLATE Blackberry Almond Scone,bread,68
70,BREAD & CHOCOLATE Raspberry Cheese Danish,bread,69
71,BREAD & CHOCOLATE Jalapeno Cheddar Scone,bread,70
72,BREAD & CHOCOLATE Blackberry Chocolate Scone,bread,71
74,BREAD & CHOCOLATE Rolls Wheat Ciabatta 6ct.,bread,72
76,MESTEMACHER Sunflower Seed Bread,bread,73
81,MESTEMACHER Whole Rye Bread,bread,74
86,JOSEPH'S Original Pita Bread,bread,75
87,MESTEMACHER Organic Flax Seed Bread,bread,76
88,CHABASO Ciabatta Bread,bread,77
91,UDI'S Gluten Free Multi-Grain Sandwich Bread,bread,78
92,RUDI'S Organic Multigrain Oat Bread,bread,79
94,ALVARADO ST. BAKERY Organic Sprouted Barley Bread,bread,80
95,UDI'S Gluten-Free Soft White Sandwich Bread,bread,81
0,ORGANIC VALLEY Whole Milk 0.5gal.,milk,82
1,ORGANIC VALLEY 0% Milk 0.5gal.,milk,83
2,ARETHUSA FARM DAIRY 2% Reduced Fat Milk 0.5gal.,milk,84
3,ORGANIC VALLEY 1% Milk 0.5gal.,milk,85
4,ARETHUSA FARM DAIRY Whole Milk 0.5gal.,milk,86
5,ORGANIC VALLEY 2% Milk 0.5gal.,milk,87
7,MOUNTAIN DAIRY Milk Whole 1gal.,milk,88
9,STONYFIELD FARM INC Organic Milk 2% 0.5gal,milk,89
10,MOUNTAIN DAIRY Milk Whole 0.5gal.,milk,90
11,MAPLE HILL CREAMERY Organic Milk Whole 0.5gal.,milk,91
12,ARETHUSA FARM DAIRY Skim Milk 0.5gal.,milk,92
13,ARETHUSA FARM DAIRY 1% Low-Fat Milk 0.5gal.,milk,93
14,MOUNTAIN DAIRY Milk 2% 0.5gal.,milk,94
16,MOUNTAIN DAIRY Milk 1% 1gal.,milk,95
17,ARETHUSA FARM DAIRY Whole Milk 1pt.,milk,96
19,ORGANIC VALLEY Whole Milk 1gal.,milk,97
22,MOUNTAIN DAIRY Milk 2% 1gal.,milk,98
23,FAIRLIFE Milk Fat Free  52fl,milk,99
24,MOUNTAIN DAIRY Milk Skim 0.5gal.,milk,100
25,ARETHUSA FARM DAIRY Chocolate Milk 1qt.,milk,101
26,BLUE DIAMOND Almond Breeze Unsweetened Almond Coconut Milk 0.5gal.,milk,102
27,ORGANIC VALLEY Half & Half Grassmilk 1pt.,milk,103
29,LACTAID Milk 2% Reduced Fat 0.5gal.,milk,104
30,ORGANIC VALLEY Whole Milk 1qt.,milk,105
31,STONYFIELD FARM INC Organic Milk Whole 0.5gal,milk,106
32,MOUNTAIN DAIRY Milk 1% 0.5gal.,milk,107
33,OATLY! Oatmilk,milk,108
34,STONYFIELD FARM INC Organic Milk 1% Low-Fat 0.5gal,milk,109
36,CALIFORNIA FARMS Milk Evaporated,milk,110
38,ARETHUSA FARM DAIRY Milk Chocolate 1pt.,milk,111
39,ORGANIC VALLEY Lactose-Free Non-Fat Milk 0.5gal.,milk,112
40,BALDWIN BROOK FARM Milk Raw 0.5gal.,milk,113
41,HORIZON Organic Milk Whole 0.5gal.,milk,114
42,LACTAID Milk 100% Fat Free 1qt.,milk,115
43,PARMALAT Milk 2% Reduced Fat 1qt.,milk,116
44,ORGANIC VALLEY Lactose-Free Whole Milk,milk,117
45,ORGANIC VALLEY Lactose-Free 1% Milk 0.5gal.,milk,118
46,ORGANIC VALLEY 2% Reduced Fat Milk 1qt.,milk,119
47,ORGANIC VALLEY 1% Milk 1qt.,milk,120
49,FAIRLIFE Whole Milk  52fl,milk,121
51,HORIZON Organic Milk Chocolate 1% Low Fat 6ct.,milk,122
52,ORGANIC VALLEY 1% Milk 12ct.,milk,123
53,ORGANIC VALLEY Non-Fat Milk 1qt.,milk,124
54,PARMALAT Milk Fat Free 1qt.,milk,125
55,FAIRLIFE Milk 2%  52fl,milk,126
57,ARETHUSA FARM DAIRY Milk Chocolate 0.5gal.,milk,127
58,ORGANIC VALLEY 1% Chocolate Milk 12ct.,milk,128
59,HORIZON Organic Milk Vanilla 1% Low Fat 12ct.,milk,129
60,"RIPPLE Milk, Vanilla",milk,130
61,RONNYBROOK Milk Chocolate,milk,131
62,SILK Original Dairy-Free Plant Milk,milk,132
0,"FARMER'S COW Large Brown Eggs, 1 Dozen",eggs,133
1,HILLANDALE FARMS Eggs Extra-Large White 1 Dozen,eggs,134
3,"PETE & GERRY's Organic Eggs Fresh Medium, 1 Dozen",eggs,135
4,ORGANIC VALLEY Grade A Large Brown Eggs 1 Dozen,eggs,136
5,NELLIE'S Eggs Large Brown Cage Free 1 Dozen,eggs,137
7,HANDSOME BROOK FARMS Eggs Large 1 Dozen,eggs,138
10,ORGANIC VALLEY Grade A Free-Range Large Brown Eggs 0.5 Dozen,eggs,139
11,MOUNTAINSIDE FARMS Liquid Eggs White Cage Free 16oz,eggs,140
12,FARMER'S COW Eggs Extra Large Brown 1 Dozen,eggs,141
14,"PETE & GERRY's Organic Large Brown Eggs, 1 Dozen",eggs,142
18,NELLIE'S Eggs Medium Brown Free Range 1 Dozen,eggs,143
19,The Farmer's Hen Extra Large White Eggs 1 Dozen,eggs,144
20,"THE FARMERS HEN Medium White Eggs, 1 Dozen",eggs,145
22,"PETE & GERRY's Organic Large Brown Eggs, 0.5 Dozen",eggs,146
25,"THE FARMERS HEN Large White Eggs, 1 Dozen",eggs,147
29,EVOLVE Organic Eggs Large 0.5 Dozen,eggs,148
30,PETE & GERRY's Eggs Extra Large Brown 0.5 Dozen,eggs,149
2,CABOT Unsalted Butter Quarters,butter,150
6,CABOT Salted Butter Quarters,butter,151
8,KERRYGOLD Unsalted Pure Irish Butter 8oz.,butter,152
9,KERRYGOLD Salted Pure Irish Butter 8oz.,butter,153
13,ORGANIC VALLEY Unsalted Cultured Butter Quarters 1lb.,butter,154
15,ARETHUSA FARM DAIRY Cultured Butter with Sea Salt,butter,155
16,KATE'S CREAMERY Unsalted Butter Quarters 16oz.,butter,156
17,KATE'S CREAMERY Sea Salted Butter Quarters 16oz.,butter,157
21,PLUGRA European Style Salted Butter 8oz.,butter,158
23,ORGANIC VALLEY Salted Butter Quarters 1lb.,butter,159
24,PLUGRA European Style Unsalted Butter 8oz.,butter,160
26,NELLIE'S Butter Unsalted,butter,161
27,NELLIE'S Butter Salted,butter,162
28,RODOLPHE LE MEUNIER Beurre de Baratte Hand Churned Butter w/ Sea Salt,butter,163
0,CABOT Vermont Seriously Sharp Cheddar Cheese 8oz.,cheese,164
1,CABOT Vermont Extra Sharp Cheddar Cheese 8oz.,cheese,165
2,MT. VIKOS Traditional Feta Cheese,cheese,166
3,"VERMONT CREAMERY Goat Cheese, Classic Chevre",cheese,167
4,ANDREW & EVERETT Cheese-Mexican Mix Shredded,cheese,168
5,APPLEGATE ORGANICS Muenster Cheese,cheese,169
6,CABOT Vermont Sharp Cheddar Cheese Bar 8oz.,cheese,170
7,LIUZZI CHEESE Mozzarella Fior Di Latte 1 LB,cheese,171
8,PHILADELPHIA Cream Cheese Original Bar,cheese,172
9,ANDREW & EVERETT Cheese-Swiss Sliced,cheese,173
10,PINNA Pecorino Romano 1/3 LB,cheese,174
11,Crumbled Feta (Per Pound),cheese,175
12,LIUZZI CHEESE Fresh Mozzarella Nodini,cheese,176
13,REDWOOD Goat Kefir Traditional Plain 1qt.,cheese,177
14,LA QUESERIA ARTESANA 12 Month Manchego 1/2 LB,cheese,178
15,ANDREW & EVERETT Cheese-Mild Cheddar Sliced,cheese,179
16,APPLEGATE ORGANICS Sliced Cheddar Cheese,cheese,180
17,ANDREW & EVERETT Cheese-Sharp Cheddar Shredded,cheese,181
18,PHILADELPHIA Cream Cheese Whip,cheese,182
19,VERMONT CREAMERY Coupole Aged Goat Cheese,cheese,183
20,WOOLWICH Triple Creme Goat Brie,cheese,184
21,LIUZZI CHEESE Hand-Wrapped Fior Di Latte Mozzarella,cheese,185
22,ORGANIC VALLEY Cream Cheese Spread Tub,cheese,186
23,TINE Jarlsberg  2/3 LB,cheese,187
24,GOPI Low-Sodium Indian Style Paneer Cooking Cheese,cheese,188
25,CABOT Vermont Seriously Sharp Shredded Cheddar Cheese 8oz.,cheese,189
26,ANDREW & EVERETT Cheese-White American Sliced,cheese,190
27,CALABRO Mozzarella Ciliegine 7oz.,cheese,191
28,CABOT Sharp Cheddar Slices 8oz.,cheese,192
29,ORGANIC VALLEY Cream Cheese Bar,cheese,193
30,LIUZZI CHEESE Fresh Mozzarella Burrata,cheese,194
31,ANDREW & EVERETT Cheese-Provolone Sliced,cheese,195
32,RIVOIRE JAQUEMIN Comte 15 Month 1/2 LB,cheese,196
33,LIUZZI CHEESE Ricotta Old Fashioned with Whole Milk 16oz.,cheese,197
34,CALABRO Grated Parmesan Cheese,cheese,198
35,APPLEGATE ORGANICS Sliced Mild Cheddar Cheese,cheese,199
36,ANDREW & EVERETT Cheese-Mozzarella Strings,cheese,200
37,CABOT Pepper Jack Cheese Block 8oz.,cheese,201
38,PHILADELPHIA Cream Cheese Onion Chive,cheese,202
39,FIRST MILK Mull of Kintyre,cheese,203
40,ANDREW & EVERETT Cheese-Italian Mix Shredded,cheese,204
41,VERMONT CREAMERY Fresh Goat Cheese Herb Chevre,cheese,205
42,FORD FARM Coastal English Cheddar 3/4 LB,cheese,206
43,Swiss Cheese ,cheese,207
44,ELM CITY MARKET Blue Cheese Crumbles,cheese,208
45,VOLPINI Prep Chopped Pancetta,cheese,209
46,MAPLE LEAF CHEESE Wisconsin Sharp Cheddar 1/2 LB,cheese,210
47,ORGANIC VALLEY Whole Milk Ricotta Cheese,cheese,211
48,Provolone Cheese,cheese,212
49,LA QUESERIA ARTESANA 4Month Manchego 1/2 LB,cheese,213
50,VERMONT CREAMERY Mascarpone Italian-Style Cream Cheese,cheese,214
51,GRAFTON VILLAGE CHEESE 2-Year Cheddar Each,cheese,215
52,PHILADELPHIA Cream Cheese Soft Tub,cheese,216
53,CABOT White American Cheese Singles 12oz.,cheese,217
54,ATALANTA Halloumi,cheese,218
55,MT VIKOS Barrel Aged Feta Cheese,cheese,219
56,"EUPHRATES Feta Cheese Domestic, 3/4 LB",cheese,220
57,APPLEGATE ORGANICS Sliced American Cheese,cheese,221
58,SAINT ANDRE Triple Cream Brie 1/2 LB,cheese,222
59,CABOT Yellow American Cheese Singles 12oz.,cheese,223
60,CALABRO Grated Romano Cheese,cheese,224
61,LA PANZANELLA Crackers Mini Groccantini,cheese,225
62,APPLEGATE NATURALS Sliced Emmentaler Swiss Cheese,cheese,226
63,CABOT Vermont Extra Sharp Cheddar Cheese Bar 8oz.,cheese,227
64,ARTIKAAS Red Gouda 1/3 LB,cheese,228
65,WESTFIELD FARM Capri Herb Garlic Goat Cheese,cheese,229
66,CABOT New York Extra Sharp Cheddar Slices 8oz.,cheese,230
67,LAUREL HILL Organic Olives Pimento Stuffed,cheese,231
68,ANDREW & EVERETT Cheese-Mild Cheddar Shredded,cheese,232
69,CALABRO String Cheese 12oz.,cheese,233
70,LIUZZI CHEESE Mozzarella di Bufala,cheese,234
71,KITE HILL Cream Cheese Plain Alternative,cheese,235
72,RUMIANO Organic Cheese Monterey Jack,cheese,236
73,PINNA Ricotta Salata 1/3 LB,cheese,237
74,MONTCHEVRE Goat Cheese Crumbles,cheese,238
75,PHILADELPHIA Cream Cheese Bar Light,cheese,239
76,QUESO DEL VALLE Cotija,cheese,240
77,EMMI Emmenthal 1/2 LB,cheese,241
78,RUMIANO Organic Cheese Cheddar Sharp,cheese,242
79,DAIYA Cheddar Style Shreds,cheese,243
80,KING ISLAND CHEESE Murray Bridge Australian Cheddar 2/3 LB,cheese,244
81,CALABRO Ricotta with Whole Milk 16oz.,cheese,245
82,FROMAGER D'AFFINOIS Le Fromager 1/3 LB,cheese,246
83,LIUZZI CHEESE Ciliegine Mozzarella ,cheese,247
84,APPLEGATE ORGANICS Sliced Provolone Cheese,cheese,248
85,LA PANZANELLA Crackers Mini Rosemary Groccantini,cheese,249
86,QUESERIA DE LAS VILLUERCAS Ibores Raw Goat 1/4 LB,cheese,250
87,THAT'S HOW WE ROLL Parmesan Crisp Original,cheese,251
88,White American Cheese,cheese,252
89,ELLSWORTH CREAMERY Cheddar Cheese Curds,cheese,253
90,LIUZZI CHEESE Mozzarella 8oz.,cheese,254
91,QUESO DEL VALLE Queso Fresco,cheese,255
92,CALABRO Shredded Part-Skim Mozzarella 8oz.,cheese,256
93,KASEREI TUFERTSCHWIL Challerhocker 1/3 LB,cheese,257
94,CALABRO Part Skim Ricotta Cheese 16oz.,cheese,258
95,CALABRO Shredded Mozarella 8oz.,cheese,259
2,APPLEGATE NATURALS Uncured Sunday Bacon,bacon,260
3,APPLEGATE ORGANICS Hickory Smoked Uncured Sunday Bacon,bacon,261
5,APPLEGATE NATURALS Hickory Smoked Uncured Turkey Bacon,bacon,262
6,APPLEGATE ORGANICS No Sugar Uncured Bacon,bacon,263
7,NIMAN RANCH All-Natural Sugar-Free Applewood Smoked Uncured Bacon,bacon,264
10,NIMAN RANCH All-Natural Applewood Smoked Uncured Bacon,bacon,265
11,"Chicken, Bacon & Avocado Wrap",bacon,266
12,Bacon Cheddar Burger (Per Pound),bacon,267
13,LIGHTLIFE SMART Veggie Bacon Strips,bacon,268
14,D'ARTAGNAN Slab Bacon (Per Pound),bacon,269
16,BUSH'S Maple Cured Bacon,bacon,270
18,"Chicken, Turkey Bacon & Ranch Wrap",bacon,271
20,"RED'S Canadian Bacon, Egg, & Three Cheese Burrito",bacon,272
23,D'ARTAGNAN Duck Bacon,bacon,273
24,SCHLOTTERBECK & FOSS Chef Sauce Maple Bacon Chipotle,bacon,274
26,D'ARTAGNAN Applewood Bacon,bacon,275
28,LOUISVILLE VEGAN JERKY Paulette's Maple Bacon,bacon,276
29,MORNINGSTAR FARMS Veggie Bacon Strips,bacon,277
30,LIGHTLIFE FOODS Smart Bacon Meatless Veggie Bacon Strips,bacon,278
32,CHUAO CHOCOLATIER Mini Chocolate Maple Bacon,bacon,279
34,SWEET EARTH Vegan Hickory & Sage Benevolent Bacon  ,bacon,280
35,"Fresh Express Salad, Kickin Bacon Ranch Chopped Salad Kit",bacon,281
37,TRUE NORTH Bacon Wrapped Scallops,bacon,282
38,BUDDY BISCUITS All-Natural Soft & Chewy Dog Treat with Bacon & Cheese,bacon,283
41,"TOFURKY Treehouse Tempeh, Smoky Maple Bacon",bacon,284
2,MI NINA Tortilla Chips White Corn,chips,285
4,XOCHITL Corn Chips No Salt,chips,286
5,"KETTLE Potato Chips, Sea Salt",chips,287
6,GARDEN OF EATIN Organic Chips Blue Corn 16oz,chips,288
8,"KETTLE Organic Potato Chips, Sea Salt",chips,289
9,STACY'S PITA CHIPS Pita Chips Simply Naked,chips,290
10,XOCHITL Tortilla Chips Salted,chips,291
11,"KETTLE Avocado Oil Potato Chips, Himalayan Salt",chips,292
12,FOOD SHOULD TASTE GOOD Tortilla Chips Multigrain,chips,293
16,GARDEN OF EATIN Organic Chips Blue Corn 8.1oz,chips,294
17,GARDEN OF EATIN Organic Chips Yellow Tortilla,chips,295
18,FOOD SHOULD TASTE GOOD Tortilla Chips Blue Corn,chips,296
19,"KETTLE Potato Chips, Backyard BBQ",chips,297
20,STACY'S PITA CHIPS Pita Chips Multigrain,chips,298
23,"KETTLE Potato Chips, Jalapeno",chips,299
24,"KETTLE Potato Chips, Honey Dijon",chips,300
26,"KETTLE Potato Chips, Sea Salt & Vinegar",chips,301
27,STACY'S Everything Bagel Chips,chips,302
28,TERRA Garlic & Herbs Mediterranean Vegetable Chips,chips,303
29,"KETTLE Potato Chips, Sour Cream & Onion",chips,304
31,FOOD SHOULD TASTE GOOD Tortilla Chips Sweet Potato 2,chips,305
35,"KETTLE Organic Potato Chips, Country Style Barbeque",chips,306
37,SIMPLY 7 Sea Salt Lentil Chips,chips,307
38,INKA CROPS Plantain Chips Roasted,chips,308
41,BARNANA Himalayan Pink Sea Salt Plantain Chips,chips,309
42,MI NINA Tortilla Chips Agave Jalapeno,chips,310
44,"KETTLE Potato Chips, Korean Barbeque",chips,311
45,LATE JULY Organic Tortilla Chips Jalapeno Lime,chips,312
46,POPCHIPS BBQ Potato Chips,chips,313
48,GARDEN OF EATIN Organic Chips Sea Salt Multigrain,chips,314
49,"KETTLE Potato Chips, Bourbon BBQ",chips,315
50,PLANT SNACKS Vegan Cheddar Cassava Root Chips,chips,316
51,QUE PASA Tortilla Chips,chips,317
52,SIMPLY 7 Sea Salt Quinoa Chips,chips,318
53,RW GARCIA Organic Corn Chips Bar-B-Q,chips,319
54,STACY'S PITA CHIPS Pita Chips Parmesan Garlic Herb,chips,320
55,GOOD HEALTH Sea Salt Veggie Chips,chips,321
59,"KETTLE Krinkle Cut Potato Chips, Dill Pickle",chips,322
67,"KETTLE Organic Potato Chips, Jalapeno",chips,323
69,STACY'S PITA CHIPS Cinnamon Sugar,chips,324
74,STACY'S PITA CHIPS Pita Crisps 5 Cheeses,chips,325
78,GARDEN OF EATIN Organic Chips Blue Corn No Salt,chips,326
80,POPCHIPS Ridges Cheddar & Sour Cream,chips,327
85,LUKE'S ORGANIC Wavy Potato Chips,chips,328
86,SIETE Sal y Limon Grain Free Tortilla Chips,chips,329
87,STACY'S PITA CHIPS Pita Chips Garden Veggie Medley,chips,330
91,GOOD HEALTH Kettle Style Sea Salt Avocado Oil Chips,chips,331
93,"KETTLE Potato Chips, Farmstand Ranch",chips,332
94,"KETTLE Potato Chips, Unsalted",chips,333
95,LATE JULY Organic Chia & Quinoa Restaurant Style Tortilla Chips,chips,334
3,BACK TO NATURE Cookies Sandwich Original,cookies,335
5,Double Chocolate Chip Cookies ,cookies,336
6,House-made All-Natural Oatmeal Raisin Cookies 6ct.,cookies,337
8,Housebaked Snickerdoodle Cookies,cookies,338
10,White Chocolate Chip Macadamia Cookies,cookies,339
12,LOTUS Biscoff Coffee Cookies,cookies,340
14,GLUTINO Gluten Free Super Stuffed Chocolate Vanilla Crème Cookies,cookies,341
22,Lemon Cooler Cookies,cookies,342
