,price,product,category
0,$6.49,"Alvarado St. Bakery Freshly Sprouted Wheat California Style, Bread, 24 Ounce",bread
3,$6.49,"Alvarado St. Bakery Freshly Sprouted Wheat Low Glycemic, Bread, 24 Ounce",bread
4,$6.49,"Alvarado St. Bakery Freshly Sprouted Wheat Multigrain, Bread, 24 Ounce",bread
7,$6.49,"Alvarado St. Bakery No Salt Added Freshly Sprouted Wheat Multigrain, Bread, 24 Ounce",bread
8,$6.49,"Alvarado St. Bakery Sprouted Flax Seed, Bread, 16 Ounce",bread
9,$5.99,"Bowl & Basket Authentic Sourdough, Country Loaf, 24 Ounce",bread
12,$5.99,"Bowl & Basket Authentic, Sourdough Boule, 16 Ounce",bread
13,$5.99,"Bowl & Basket Classic, Ciabatta Loaf, 14 Ounce",bread
14,$5.99,"Bowl & Basket Garlic, Ciabatta Loaf, 14 Ounce",bread
15,$5.99,"Bowl & Basket Kneaded Grain, Ciabatta Loaf, 14 Ounce",bread
18,$4.99,"Bowl & Basket Loaf Ancient Grain Artisan, Bread, 16 Ounce",bread
19,$5.99,"Bowl & Basket Olive Oil, Ciabatta Loaf, 14 Ounce",bread
20,$4.49,"Bowl & Basket Rosemary Olive Oil, Ciabatta Loaf, 14.5 Ounce",bread
21,$5.99,"Bowl & Basket Wheat, Ciabatta Loaf, 1 Each",bread
22,$5.79,"Calandra Whole Wheat Panella, 1 Each",bread
25,$3.99,"Calandra's Fresh French Bread, 12 Ounce",bread
26,$4.39,"Calandra's Italian & French Bakery Delicious Semolina Brick Oven Baked, Bread, 10 Ounce",bread
27,$5.79,"Calandra's Italian & French Bakery Hearth Oven Baked Medium, Panella Bread, 21 Ounce",bread
28,$3.99,"Calandra's Italian & French Bakery Old World, Bastone Bread, 12 Ounce",bread
29,$5.99,"Cheesecake Factory Wheat Dinner Rolls, 11.2 Ounce",bread
30,$5.99,"Concord Bakery Mini Loaves, Cornbread, 1 Each",bread
31,$5.99,"Euro Classic Authentic Brioche, Burger Buns, 10.58 Ounce",bread
32,$5.99,"Euro Classic Authentic Brioche, Dinner Rolls, 16.9 Ounce",bread
33,$6.99,"Euro Classic Authentic Butter Braided, Brioche, 1 Each",bread
34,$5.99,"Euro Classic Authentic French Brioche, Hot Dog Buns, 10.58 Ounce",bread
37,$6.99,"Euro Classic Authentic French Cinnamon Raisin, Brioche, 15.87 Ounce",bread
38,$3.99,"FRESH BAKE 4 PK CIABATTA ROLLS  , 12 Ounce",bread
39,$3.99,"FRESH BAKE 4PK WHEAT CIABATTA   , 12 Ounce",bread
40,$4.99,"FRESH BAKE 6PK SEMOLI HERO ROLLS, 20 Ounce",bread
41,$5.99,"Fresh Bake Shop 12 Pack Medium Kaiser Rolls, 18 Ounce",bread
0,$5.49,"a2 Milk 2% Reduced Fat, Milk, 59 Fluid ounce",milk
3,$5.49,"a2 Milk Whole , Milk, 59 Fluid ounce",milk
4,$4.79,"Bowl & Basket 1% Low Fat, Chocolate Milk, 1 Gallon",milk
7,$4.59,"Bowl & Basket 1% Low Fat, Milk, 1 Gallon",milk
8,$3.19,"Bowl & Basket 1% Low Fat, Milk, 0.5 Gallon",milk
9,$1.89,"Bowl & Basket 1% Low Fat, Milk, 32 Quart",milk
12,$4.59,"Bowl & Basket 2% Reduced Fat, Milk, 1 Gallon",milk
13,$3.19,"Bowl & Basket 2% Reduced Fat, Milk, 0.5 Gallon",milk
14,$1.89,"Bowl & Basket 2% Reduced Fat, Milk, 1 Each",milk
15,$0.99,"Bowl & Basket 2% Reduced Fat, Milk, 1 Each",milk
18,$3.49,"Bowl & Basket Chocolate Milk, 0.5 Gallon",milk
19,$0.99,"Bowl & Basket Chocolate Milk, 1 Pint",milk
20,$4.59,"Bowl & Basket Fat Free, Milk, 1 Gallon",milk
21,$3.19,"Bowl & Basket Fat Free, Milk, 0.5 Gallon",milk
22,$1.89,"Bowl & Basket Fat Free, Milk, 32 Quart",milk
25,$3.19,"Bowl & Basket Lactose Free 2% Reduced Fat, Milk, 0.5 Gallon",milk
26,$3.19,"Bowl & Basket Lactose Free Calcium Enriched 2% Reduced Fat, Milk, 0.5 Gallon",milk
27,$3.19,"Bowl & Basket Lactose Free Calcium Enriched Fat Free, Milk, 0.5 Gallon",milk
28,$3.19,"Bowl & Basket Lactose Free Fat Free, Milk, 0.5 Gallon",milk
29,$3.19,"Bowl & Basket Lactose Free Whole, Milk, 0.5 Gallon",milk
30,$1.99,"Bowl & Basket Light Cultured, Buttermilk, 32 Fluid ounce",milk
31,$3.19,"Bowl & Basket Milk Lactose Free 1% Low Fat, 0.5 Gallon",milk
32,$4.59,"Bowl & Basket Whole Milk, 1 Gallon",milk
33,$3.19,"Bowl & Basket Whole Milk, 0.5 Gallon",milk
34,$1.89,"Bowl & Basket Whole Milk, 32 Quart",milk
37,$4.99,"Chobani Nog Flavored Holiday Limited Batch, Oat Milk Drink, 32 Fluid ounce",milk
38,$4.19,"Fairlife 2% Chocolate Bottle, Milk, 52 Fluid ounce",milk
39,$4.19,"Fairlife 2% Reduced Fat, Ultra-Filtered Milk, 52 Fluid ounce",milk
40,$4.69,"Fairlife DHA Omega-3 Reduced Fat Ultra-Filtered, Milk, 1.5 Each",milk
41,$4.19,"Fairlife Fat Free, Ultra-Filtered Milk, 1.5 Each",milk
0,$2.99,"Bowl & Basket Cage Free Brown Large, Eggs, 12 Each",eggs
1,$3.49,"Bowl & Basket Cage Free Hard-Cooked Peeled, Eggs, 6 Each",eggs
2,$5.49,"Bowl & Basket Cage Free Liquid, Egg Whites, 32 Ounce",eggs
3,$4.69,"Bowl & Basket Extra Large White, Eggs, 12 Each",eggs
4,$4.89,"Bowl & Basket Fresh White Jumbo, Eggs, 12 Each",eggs
5,$6.69,"Bowl & Basket Fresh White Large, Eggs, 18 Each",eggs
6,$4.49,"Bowl & Basket Fresh White Large, Eggs, 12 Each",eggs
7,$3.99,"Bowl & Basket Specialty Free Range Fresh Brown Large, Egg, 12 Each",eggs
8,$10.99,"Bowl & Basket White Large, Eggs, 30 Each",eggs
9,$3.49,"Bowl & Basket White Large, Eggs, 6 Each",eggs
10,$21.99,"Bowl & Basket White Large, Eggs, 120 Ounce",eggs
11,$4.79,"Egg Land's Best Free Range Large Brown, Eggs, 12 Each",eggs
12,$5.79,"Egg Land's Best Large Brown Pasture Raised, Eggs, 12 Each",eggs
13,$4.19,"Egg-Land's Best Brown Large, Eggs, 12 Each",eggs
14,$6.99,"Egg-Land's Best Cage Free Brown Large, Eggs, 18 Each",eggs
15,$4.79,"Egg-Land's Best Cage Free Large Brown, Eggs, 12 Each",eggs
16,$6.49,"Egg-Land's Best Extra Large, Eggs, 18 Each",eggs
17,$4.49,"Egg-Land's Best Extra Large, Eggs, 12 Each",eggs
18,$4.99,"Egg-Land's Best Jumbo, Eggs, 12 Each",eggs
19,$5.99,"Egg-Land's Best Large, Eggs, 18 Each",eggs
20,$6.99,"Egg-Land's Best Large, Eggs, 24 Each",eggs
21,$5.99,"Egg-Land's Best Organic Brown Large, Eggs, 1 Each",eggs
22,$3.99,"Eggland's Best Eggs - Hard Cooked, 6 Each",eggs
23,$4.19,"Eggland's Best Large White Eggs, 12 Each",eggs
24,$5.49,"Eggland's Best Organic Hard Cooked Peeled Eggs, 9.3 Ounce",eggs
25,$4.99,"Land O Lakes Brown Jumbo, Eggs, 12 Each",eggs
26,$4.19,"Land O Lakes Brown Large, Eggs, 12 Each",eggs
27,$4.49,"Land O'Lakes 1 Dozen Grade A Extra Large Brown Eggs, 12 Each",eggs
28,$4.69,"Mountainside Farms Cage Free Natural Large Brown, Eggs, 1 Ounce",eggs
29,$4.49,"Nature's Yoke Free-Range Brown Large, Eggs, 12 Each",eggs
0,$2.69,"Bowl & Basket Spreadable with Canola Oil, Butter, 8 Ounce",butter
3,$3.99,"Bowl & Basket Sweet Cream Salted, Butter, 16 Ounce",butter
4,$3.99,"Bowl & Basket Sweet Cream Unsalted, Butter, 1 Pound",butter
7,$2.99,"Bowl & Basket Whipped Salted, Butter, 8 Ounce",butter
8,$6.29,"Breakstone's All Natural Salted, Butter, 16 Ounce",butter
9,$3.99,"Breakstone's All Natural Salted, Butter, 8 Ounce",butter
12,$3.99,"Breakstone's All Natural Salted, Whipped Butter, 8 Ounce",butter
13,$3.99,"Breakstone's All Natural Unsalted, Butter, 8 Ounce",butter
14,$6.29,"Breakstone's All Natural Unsalted, Butter, 16 Ounce",butter
15,$3.99,"Breakstone's All Natural Unsalted, Whipped Butter, 8 Ounce",butter
18,$10.99,"D'Artagnan White Truffle, Butter, 3 Ounce",butter
19,$6.29,"Hotel Bar Salted, Butter, 16 Ounce",butter
20,$6.29,"Hotel Bar Unsalted, Butter, 16 Ounce",butter
21,$6.29,"Keller's Creamery Salted, Butter, 16 Ounce",butter
22,$6.29,"Keller's Creamery Unsalted, Butter, 16 Ounce",butter
25,$2.99,"Kerrygold Garlic & Herb, Butter, 3.5 Ounce",butter
26,$4.99,"Kerrygold Irish with Olive Oil, Butter, 7.5 Ounce",butter
27,$3.69,"Kerrygold Pure Irish, Butter, 8 Ounce",butter
28,$4.99,"Kerrygold Pure Irish, Butter, 8 Ounce",butter
30,$3.69,"Kerrygold Unsalted Pure Irish, Butter, 8 Ounce",butter
31,$4.99,"Kerrygold Unsalted Sticks Pure Irish, Butter, 8 Ounce",butter
32,$3.99,"Land O Lakes Butter with Canola Oil Plus Calcium & Vitamin D, Spread, 15 Ounce",butter
33,$3.99,"Land O Lakes Butter with Canola Oil, Spread, 15 Ounce",butter
34,$2.99,"Land O Lakes Butter with Canola Oil, Spread, 8 Ounce",butter
37,$8.49,"Land O Lakes Butter with Canola Oil, Spread, 24 Ounce",butter
38,$2.99,"Land O Lakes Light Butter with Canola Oil, Spread, 8 Ounce",butter
39,$8.49,"Land O Lakes Light Butter with Canola Oil, Spread, 24 Ounce",butter
40,$8.49,"Land O Lakes Olive Oil and Sea Salt, Spread, 21 Ounce",butter
41,$2.99,"Land O Lakes Olive Oil and Sea Salt, Spreadable Butter , 7 Ounce",butter
0,$8.99,"Boar's Head American, Cheese, 8 Ounce",cheese
1,$8.99,"Boar's Head Monterey Jack Cheese, 8 Ounce",cheese
2,$8.99,"Boar's Head White Vermont Cheddar Cheese, 8 Ounce",cheese
3,$7.99,"Boars Head Imported Switzerland Swiss, Cheese, 7 Ounce",cheese
4,$2.99,"Borden American 2% Milk Singles, Cheese, 12 Ounce",cheese
5,$2.99,"Borden American Fat Free Singles, Cheese, 12 Ounce",cheese
6,$2.99,"Borden American Lactose Free Singles, Cheese, 8 Ounce",cheese
7,$2.99,"Borden American Pasteurized Sliced Process, Cheese, 6 Ounce",cheese
8,$2.99,"Borden American Singles, Cheese, 12 Ounce",cheese
9,$4.99,"Borden Kid Builder Low-Moisture Part-Skim Mozzarella, String Cheese, 12 Ounce",cheese
10,$4.99,"Borden Low-Moisture Part-Skim Mozzarella, String Cheese, 12 Ounce",cheese
11,$2.99,"Borden Melts Grilled, Cheese, 12 Ounce",cheese
12,$2.99,"Borden Mild Cheddar Sliced, Cheese, 6 Ounce",cheese
13,$2.99,"Borden Muenster Sliced, Cheese, 6 Ounce",cheese
14,$2.99,"Borden Pepper Jack Sliced, Cheese, 6 Ounce",cheese
15,$2.99,"Borden Provolone, Sliced Cheese, 6 Ounce",cheese
16,$2.99,"Borden Sharp 2% Milk Singles, Cheese, 12 Ounce",cheese
17,$2.99,"Borden Sharp Cheddar Sliced, Cheese, 6 Ounce",cheese
18,$2.99,"Borden Swiss, Sliced Cheese, 5 Ounce",cheese
19,$2.99,"Borden White American Singles, Cheese, 12 Ounce",cheese
20,$2.79,"Bowl & Basket 2% Milk Singles White, Cheese, 12 Ounce",cheese
21,$2.79,"Bowl & Basket 2% Milk Singles Yellow, Cheese, 12 Ounce",cheese
22,$3.99,"Bowl & Basket Colby & Monterey Jack, Cheese Sticks, 10 Ounce",cheese
23,$2.19,"Bowl & Basket Colby Jack Natural, Cheese, 8 Ounce",cheese
24,$2.99,"Bowl & Basket Cracker Cuts Extra Sharp Cheddar, Cheese, 10 Ounce",cheese
25,$2.99,"Bowl & Basket Cracker Cuts Mild Cheddar, Cheese, 10 Ounce",cheese
26,$2.99,"Bowl & Basket Cracker Cuts New York Sharp White, Cheddar Cheese, 10 Ounce",cheese
27,$2.99,"Bowl & Basket Cracker Cuts Pepper Jack, Cheese, 10 Ounce",cheese
28,$2.99,"Bowl & Basket Cracker Cuts Sharp Cheddar, Cheese, 10 Ounce",cheese
29,$2.99,"Bowl & Basket Cracker Cuts Swiss, Cheese, 9 Ounce",cheese
0,$4.49,"Al Fresco Apple Maple with Vermont Maple Syrup, Chicken Breakfast Sausage, 7.5 Ounce",bacon
3,$4.49,"Al Fresco Country Style, Chicken Breakfast Sausage, 7.5 Ounce",bacon
4,$4.99,"Al Fresco Original Uncured Chicken, Bacon, 8 Ounce",bacon
7,$7.49,"Applegate Naturals Hickory Smoked No Sugar Uncured, Bacon, 8 Ounce",bacon
8,$6.99,"Applegate Naturals Hickory Smoked Uncured Sunday, Bacon, 8 Ounce",bacon
9,$9.49,"APPLEGATE Naturals Hickory Smoked Uncured Thick Cut, Bacon, 12 Ounce",bacon
12,$5.99,"Applegate Naturals Hickory Smoked Uncured Turkey, Bacon, 8 Ounce",bacon
13,$8.99,"Arnold's Premium Smoked Beef, Bacon, 12 Ounce",bacon
14,$7.49,"Black Label Natural Hardwood Smoke Lower Sodium, Bacon, 454 Gram",bacon
15,$9.99,"Black Label Natural Hardwood Smoke Microwave Ready Original, Bacon, 12 Ounce",bacon
18,$7.49,"Black Label Natural Hardwood Smoke Original, Bacon, 454 Gram",bacon
19,$7.49,"Black Label Natural Hardwood Smoke Thick Cut, Bacon, 1 Pound",bacon
20,$7.49,"Black Label Naturally Hardwood Smoked Applewood Thick Cut, Bacon, 12 Ounce",bacon
21,$8.99,"Boar's Head Butcher Craft Thick cut, Bacon, 12 Ounce",bacon
22,$11.99,"Boar's Head Butcher Craft Thick Cut, Bacon, 20 Ounce",bacon
25,$3.79,"Bob Evans Maple, Pork Sausage Links, 12 Ounce",bacon
26,$3.79,"Bob Evans Maple, Pork Sausage Patties, 12 Ounce",bacon
27,$4.99,"Bowl & Basket Applewood Smoked, Bacon, 1 Pound",bacon
28,$8.49,"Bowl & Basket Hickory Smoked Tangy, Pork Roll, 24 Ounce",bacon
29,$8.49,"Bowl & Basket Hickory Smoked, Pork Roll, 24 Ounce",bacon
30,$4.99,"Bowl & Basket Lower Sodium Sliced, Bacon, 1 Pound",bacon
31,$4.99,"Bowl & Basket Original, Bacon, 1 Pound",bacon
32,$2.49,"Bowl & Basket Thick Slices Hickory Smoked Mild, Pork Roll, 6 Ounce",bacon
33,$2.49,"Bowl & Basket Thin Slices Mild, Pork Roll, 6 Ounce",bacon
34,$2.49,"Bowl & Basket Thin Slices Tangy, Pork Roll, 6 Ounce",bacon
37,$3.49,"Butterball Lower Sodium, Turkey Bacon, 12 Ounce",bacon
38,$3.49,"Butterball Original, Turkey Bacon, 12 Ounce",bacon
39,$2.49,"Case's Hickory Smoked Mild, Pork Roll, 6 Ounce",bacon
40,$29.99,"case's Pork Roll, 6 Pound",bacon
41,$7.99,"case's Pork Roll, 24 Ounce",bacon
0,$2.99,"Deep River Snacks Krinkle Cut Sour Cream & Onion Flavored Kettle Cooked, Potato Chips, 5 Ounce",chips
1,$2.99,"Deep River Snacks Maui Onion Flavored Kettle Cooked, Potato Chips, 5 Ounce",chips
2,$2.99,"Deep River Snacks Mesquite BBQ Flavored Kettle Cooked, Potato Chips, 5 Ounce",chips
3,$1.59,"Deep River Snacks Mesquite BBQ Kettle Chips, 2 Ounce",chips
